epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,800.616,1.32835,1.78493,1.19407,0.80599,0.81282,0.84559,0.59933,1.05538,1.43036,1.28243,0.000663677,0.000663677,0.000663677
2,1599.49,1.3502,1.01079,1.1978,0.81805,0.87964,0.91615,0.68032,0.96763,0.90448,1.23427,0.00126449,0.00126449,0.00126449
3,2337.68,1.34271,0.90859,1.19669,0.92062,0.88247,0.95499,0.72892,0.93145,0.72972,1.18586,0.00179931,0.00179931,0.00179931
4,3067.46,1.32052,0.85655,1.17984,0.86535,0.92391,0.94113,0.70537,0.96831,0.74662,1.22885,0.001703,0.001703,0.001703
5,3800.11,1.24609,0.78078,1.16229,0.87776,0.94565,0.95449,0.75628,0.93301,0.69619,1.15445,0.001604,0.001604,0.001604
6,4536.61,1.23731,0.76843,1.14963,0.93316,0.9105,0.96166,0.75259,0.87396,0.61093,1.14093,0.001505,0.001505,0.001505
7,5271.8,1.20718,0.73084,1.13264,0.94339,0.93478,0.9752,0.77545,0.86622,0.56268,1.1105,0.001406,0.001406,0.001406
8,6006.96,1.15017,0.68159,1.09982,0.95285,0.96739,0.98084,0.79806,0.81266,0.51032,1.05095,0.001307,0.001307,0.001307
9,6747.26,1.13553,0.64363,1.09605,0.93522,0.92391,0.97888,0.79976,0.78324,0.5142,1.03478,0.001208,0.001208,0.001208
10,7488.86,1.13625,0.63191,1.09549,0.96005,0.97826,0.9854,0.79649,0.76108,0.46497,1.02597,0.001109,0.001109,0.001109
11,8226.26,1.16354,0.61699,1.0909,0.9776,0.94884,0.98915,0.78601,0.83637,0.50341,1.06358,0.00101,0.00101,0.00101
12,8965.15,1.14041,0.59684,1.10381,0.95524,0.9279,0.98441,0.82052,0.74594,0.46296,1.01669,0.000911,0.000911,0.000911
13,9703.18,1.08625,0.56152,1.0717,0.9992,0.93478,0.98202,0.81906,0.73513,0.4442,1.00459,0.000812,0.000812,0.000812
14,10440.5,1.07787,0.55059,1.06714,0.98389,0.93478,0.98734,0.81671,0.74473,0.45444,0.99394,0.000713,0.000713,0.000713
15,11181.3,1.06608,0.53422,1.05913,0.96697,0.95652,0.98553,0.83875,0.69977,0.40313,0.97787,0.000614,0.000614,0.000614
16,11925.6,1.04854,0.52521,1.04292,0.978,0.96653,0.98553,0.826,0.7251,0.39746,0.99151,0.000515,0.000515,0.000515
17,12674,1.02868,0.51044,1.03587,0.98839,0.96739,0.98815,0.84284,0.7118,0.38246,0.97052,0.000416,0.000416,0.000416
18,13442.5,1.01341,0.50195,1.02796,0.98966,0.94565,0.9891,0.85358,0.65956,0.36743,0.948,0.000317,0.000317,0.000317
19,14186.7,0.99254,0.48481,1.01318,0.9804,0.95652,0.9884,0.8449,0.67482,0.37197,0.95356,0.000218,0.000218,0.000218
