epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.549,1.39563,1.69587,1.03379,0.83148,0.79348,0.88116,0.66489,0.88703,1.07989,1.05556,0.000663677,0.000663677,0.000663677
2,369.297,1.44299,1.02715,1.04127,0.79106,0.8913,0.88824,0.65624,0.94647,0.95247,1.0752,0.00119864,0.00119864,0.00119864
3,543.561,1.4076,0.91677,1.03796,0.95856,0.80435,0.93293,0.7063,0.93995,0.83131,1.06472,0.0016016,0.0016016,0.0016016
4,713.365,1.31376,0.80016,1.00537,0.93962,0.91304,0.95487,0.72916,0.86906,0.65097,0.97894,0.001406,0.001406,0.001406
5,882.952,1.26528,0.7552,0.97605,0.92777,0.90217,0.96788,0.76955,0.75292,0.59396,0.94001,0.001208,0.001208,0.001208
6,1055.37,1.18662,0.69896,0.95434,0.93745,0.97749,0.98088,0.79225,0.7379,0.54297,0.92126,0.00101,0.00101,0.00101
7,1227.11,1.12296,0.64905,0.94769,0.94491,0.97826,0.98352,0.80432,0.66789,0.46874,0.90493,0.000812,0.000812,0.000812
8,1397.64,1.09147,0.62591,0.92256,0.95564,0.97826,0.98557,0.80706,0.68363,0.42919,0.90375,0.000614,0.000614,0.000614
9,1568.67,1.06354,0.59712,0.91674,0.95701,0.97826,0.97905,0.82488,0.63588,0.43028,0.87795,0.000416,0.000416,0.000416
10,1740.64,1.03834,0.57723,0.90162,0.96135,0.97826,0.98603,0.84236,0.61793,0.40222,0.8712,0.000218,0.000218,0.000218
