epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5713,1.56177,1.70791,0.86317,0.92555,0.81075,0.89275,0.69984,1.0414,0.92861,0.95099,0.000665169,0.000665169,0.000665169
2,161.405,1.71616,1.07052,0.92232,0.93612,0.79639,0.88708,0.65822,1.09995,1.11603,0.99088,0.00119998,0.00119998,0.00119998
3,240.766,1.66195,0.9999,0.91423,0.84294,0.81671,0.8835,0.65154,1.08111,0.98301,0.95919,0.0016028,0.0016028,0.0016028
4,316.117,1.61825,0.9777,0.91061,0.8792,0.79348,0.87332,0.66805,0.97634,0.89615,0.91347,0.001406,0.001406,0.001406
5,389.589,1.53271,0.86614,0.87596,0.95043,0.83363,0.92337,0.71567,0.98687,0.71622,0.91575,0.001208,0.001208,0.001208
6,466.177,1.48707,0.84059,0.87231,0.88524,0.82609,0.90886,0.71203,0.91193,0.73852,0.89531,0.00101,0.00101,0.00101
7,554.103,1.44794,0.82716,0.8671,0.93981,0.88043,0.94186,0.76896,0.82953,0.61016,0.85988,0.000812,0.000812,0.000812
8,637.943,1.37158,0.76442,0.8578,0.97507,0.85033,0.93571,0.75099,0.86125,0.56257,0.87168,0.000614,0.000614,0.000614
9,721.713,1.34396,0.73388,0.84624,0.90068,0.88718,0.9381,0.7636,0.83619,0.55154,0.84871,0.000416,0.000416,0.000416
10,812.67,1.29553,0.7029,0.83918,0.89439,0.92055,0.93574,0.75354,0.83241,0.56903,0.85302,0.000218,0.000218,0.000218
