epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1583,1.63494,1.74137,0.90368,0.93562,0.78261,0.85897,0.65931,1.04351,0.99176,0.94445,0.000665169,0.000665169,0.000665169
2,158.491,1.6902,1.06125,0.92021,0.91913,0.74122,0.86863,0.64445,1.08274,0.92693,0.94725,0.00119998,0.00119998,0.00119998
3,237.256,1.62407,0.97884,0.9047,0.97257,0.7709,0.88529,0.67436,1.00096,0.89004,0.95325,0.0016028,0.0016028,0.0016028
4,315.984,1.59131,0.92832,0.89354,0.98607,0.76954,0.90798,0.70131,0.91218,0.7762,0.91561,0.001406,0.001406,0.001406
5,402.143,1.53568,0.87843,0.86933,0.91083,0.8587,0.923,0.69497,0.97502,0.74752,0.91692,0.001208,0.001208,0.001208
6,481.273,1.45164,0.81636,0.87111,0.97486,0.84783,0.92024,0.70597,0.96172,0.68334,0.9045,0.00101,0.00101,0.00101
7,560.563,1.40974,0.81851,0.86876,0.96896,0.80435,0.90909,0.74004,0.78713,0.66081,0.85057,0.000812,0.000812,0.000812
8,639.85,1.33872,0.74692,0.86052,0.95575,0.8587,0.92565,0.73702,0.82838,0.59047,0.8775,0.000614,0.000614,0.000614
9,720.404,1.30308,0.71758,0.83288,0.90823,0.86057,0.93246,0.78055,0.73782,0.54977,0.84017,0.000416,0.000416,0.000416
10,799.142,1.23765,0.65364,0.81723,0.93298,0.8587,0.9401,0.77447,0.75998,0.55342,0.83437,0.000218,0.000218,0.000218
