epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0206,1.41689,1.65766,0.95867,0.87888,0.75,0.84973,0.60626,0.99651,0.88225,1.03298,0.000663677,0.000663677,0.000663677
2,127.684,1.55641,1.03202,0.98705,0.91864,0.75,0.86889,0.66481,0.94264,0.76905,1.01928,0.00119864,0.00119864,0.00119864
3,191.382,1.52911,0.93393,0.9745,0.96211,0.82793,0.90879,0.67936,0.91718,0.68946,0.98247,0.0016016,0.0016016,0.0016016
4,256.268,1.45617,0.89899,0.96071,0.95923,0.82609,0.9179,0.69659,0.83108,0.63216,0.9247,0.001406,0.001406,0.001406
5,319.752,1.39332,0.84665,0.92652,0.94162,0.84783,0.91139,0.69405,0.79756,0.61787,0.92665,0.001208,0.001208,0.001208
6,384.397,1.31982,0.76227,0.91368,0.90802,0.8584,0.92742,0.73646,0.73965,0.53223,0.88452,0.00101,0.00101,0.00101
7,448.765,1.20613,0.72753,0.90034,0.92914,0.8913,0.93774,0.73342,0.71008,0.48827,0.87019,0.000812,0.000812,0.000812
8,512.727,1.1806,0.66751,0.88903,0.94703,0.88043,0.93942,0.75377,0.67913,0.47554,0.87681,0.000614,0.000614,0.000614
9,576.927,1.16394,0.64889,0.87807,0.96311,0.88043,0.93932,0.75434,0.66065,0.43588,0.85703,0.000416,0.000416,0.000416
10,641.887,1.15589,0.63033,0.86264,0.96263,0.8913,0.93903,0.78411,0.60299,0.40203,0.83427,0.000218,0.000218,0.000218
