epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.778,1.36525,1.85518,1.00068,0.72215,0.90402,0.83876,0.60171,0.88379,1.31882,1.04919,0.000663677,0.000663677,0.000663677
2,495.228,1.40692,0.9993,1.04914,0.91773,0.77174,0.92097,0.69561,0.88693,0.95649,1.05856,0.00119864,0.00119864,0.00119864
3,741.656,1.38833,0.8959,1.03438,0.9131,0.91371,0.91939,0.70178,0.83325,0.76211,1.03331,0.0016016,0.0016016,0.0016016
4,976.858,1.28455,0.81652,0.99665,0.9316,0.88834,0.95987,0.7402,0.84801,0.68297,1.01178,0.001406,0.001406,0.001406
5,1206.28,1.28,0.77946,0.99153,0.9225,0.93478,0.96895,0.77793,0.7713,0.6056,0.96773,0.001208,0.001208,0.001208
6,1464.52,1.19506,0.73222,0.95782,0.92584,0.95652,0.97848,0.80198,0.73082,0.52813,0.92495,0.00101,0.00101,0.00101
7,1721.6,1.14304,0.69442,0.94083,0.96646,0.97826,0.98442,0.80426,0.6926,0.50561,0.90787,0.000812,0.000812,0.000812
8,1980.4,1.10061,0.63297,0.93439,0.91402,0.94565,0.96717,0.81176,0.66702,0.47756,0.89723,0.000614,0.000614,0.000614
9,2237.58,1.09352,0.61914,0.92312,0.98864,0.94559,0.97918,0.83979,0.62435,0.43269,0.88446,0.000416,0.000416,0.000416
10,2491.43,1.03296,0.5734,0.90046,0.9454,0.94565,0.97528,0.83779,0.60641,0.43645,0.87679,0.000218,0.000218,0.000218
